timestamp,cpu_percent,mem_pss_kb
2026-02-06 18:01:59,108.00,292632
2026-02-06 18:02:01,103.00,293924
2026-02-06 18:02:03,112.00,297364
2026-02-06 18:02:05,69.40,306624
2026-02-06 18:02:07,83.30,295148
2026-02-06 18:02:09,110.00,296792
2026-02-06 18:02:11,96.60,298224
2026-02-06 18:02:15,97.20,311036
2026-02-06 18:02:17,108.00,312644
2026-02-06 18:02:19,106.00,315172
2026-02-06 18:02:21,120.00,319240
2026-02-06 18:02:23,126.00,321672
2026-02-06 18:02:33,97.20,309420
2026-02-06 18:02:35,106.00,311852
2026-02-06 18:02:37,96.80,319460
2026-02-06 18:02:40,162.00,321584
2026-02-06 18:02:42,135.00,323372
2026-02-06 18:02:44,100.00,324332
2026-02-06 18:02:46,130.00,327048
2026-02-06 18:02:48,103.00,330276
2026-02-06 18:02:50,106.00,331500
2026-02-06 18:02:52,87.00,356632
2026-02-06 18:02:55,90.30,339308
2026-02-06 18:02:57,46.60,353184
2026-02-06 18:02:59,0.00,353140
2026-02-06 18:03:02,0.00,342176
2026-02-06 18:03:04,0.00,343024
2026-02-06 18:03:07,6.60,343024
2026-02-06 18:03:09,13.30,327640
2026-02-06 18:03:11,0.00,327648
2026-02-06 18:03:13,16.60,328920
2026-02-06 18:03:15,16.60,329628
2026-02-06 18:03:17,10.00,330672
2026-02-06 18:03:19,3.30,330952
2026-02-06 18:03:21,3.30,331224
2026-02-06 18:03:23,12.90,331360
2026-02-06 18:03:25,16.60,331360
2026-02-06 18:03:27,0.00,331540
2026-02-06 18:03:33,60.00,332044
2026-02-06 18:03:36,46.60,277264
2026-02-06 18:03:38,3.20,277292
2026-02-06 18:03:40,0.00,277456
2026-02-06 18:03:42,0.00,277500
2026-02-06 18:03:45,16.60,277500
2026-02-06 18:03:47,0.00,277708
2026-02-06 18:03:49,10.00,277708
2026-02-06 18:03:51,0.00,277708
2026-02-06 18:03:53,40.00,279848
2026-02-06 18:03:55,6.60,278040
2026-02-06 18:03:57,20.00,279160
2026-02-06 18:03:59,3.30,279448
2026-02-06 18:04:01,21.80,281276
2026-02-06 18:04:03,13.30,281728
2026-02-06 18:04:05,3.30,282636
2026-02-06 18:04:07,48.60,270440
2026-02-06 18:04:09,40.00,271036
2026-02-06 18:04:11,20.00,272840
2026-02-06 18:04:13,13.30,272812
2026-02-06 18:04:17,6.60,274920
2026-02-06 18:04:19,10.00,275156
2026-02-06 18:04:21,36.60,277588
2026-02-06 18:04:23,0.00,278636
2026-02-06 18:04:25,30.00,279136
2026-02-06 18:04:27,3.30,279324
2026-02-06 18:04:29,0.00,281192
2026-02-06 18:04:31,10.00,281432
2026-02-06 18:04:33,63.30,283412
2026-02-06 18:04:36,46.60,284956
2026-02-06 18:04:40,26.60,285448
2026-02-06 18:04:42,36.60,284788
2026-02-06 18:04:44,23.30,284788
2026-02-06 18:04:46,0.00,286116
